iter	Logloss
0	0.4204370312
1	0.4086701302
2	0.4033622396
3	0.4017245313
4	0.3989096875
5	0.3941988542
6	0.3922610156
7	0.389476875
8	0.3891225
9	0.3888741667
10	0.3881530208
11	0.3869063021
12	0.3847648437
13	0.3841602344
14	0.3835897396
15	0.3831964583
16	0.3827470833
17	0.3820825781
18	0.3815692448
19	0.3811059635
20	0.3805130208
21	0.3799065625
22	0.3794378646
23	0.3789186198
24	0.3774454427
25	0.3767413281
26	0.3763128125
27	0.3749016927
28	0.3745952083
29	0.374051224
30	0.3736069531
31	0.3731999219
32	0.3729130729
33	0.3726328646
34	0.3723753125
35	0.3721142969
36	0.3713748698
37	0.3710105729
38	0.370636276
39	0.3702567448
40	0.3697515104
41	0.369203125
42	0.3687784635
43	0.3680842188
44	0.3670885938
45	0.3667389844
46	0.3665151562
47	0.3661806771
48	0.3657322135
49	0.3653833073
50	0.3649872396
51	0.3646652083
52	0.3643321094
53	0.3639614323
54	0.3635182552
55	0.3629290885
56	0.3625302604
57	0.3620769792
58	0.3616573698
59	0.3614394531
60	0.360830026
61	0.3605260677
62	0.36022375
63	0.3599798958
64	0.3597092188
65	0.3594341667
66	0.359354974
67	0.3589361719
68	0.3587278125
69	0.3582753646
70	0.3579598698
71	0.3576448437
72	0.3574481771
73	0.3573013542
74	0.3570530208
75	0.3566458594
76	0.3562657552
77	0.3559620833
78	0.3548926042
79	0.3546191927
80	0.354233099
81	0.3538298698
82	0.3532871354
83	0.3529342187
84	0.3526808854
85	0.3526029688
86	0.3522319531
87	0.351861276
88	0.3516132292
89	0.3514454427
90	0.3509428385
91	0.3506726823
92	0.3502130729
93	0.3498504167
94	0.3494897917
95	0.3491702344
96	0.3489073177
97	0.3483479688
98	0.3479500781
99	0.3475970833
100	0.3473254167
101	0.3470085937
102	0.3467233854
103	0.3464821094
104	0.346195625
105	0.346020651
106	0.3457679427
107	0.3454734896
108	0.3452202083
109	0.3450708073
110	0.3448882812
111	0.344654401
112	0.3444742708
113	0.3442004427
114	0.3440338802
115	0.3437604167
116	0.3435271354
117	0.3432810677
118	0.3430795052
119	0.3428986458
120	0.3426318229
121	0.3422790365
122	0.3420455208
123	0.3418119792
124	0.3414833333
125	0.3412357552
126	0.340889401
127	0.3405983854
128	0.3403773177
129	0.340009375
130	0.3396684115
131	0.3394382552
132	0.3392007813
133	0.338896901
134	0.3385342969
135	0.3381596615
136	0.3379174219
137	0.3376584896
138	0.337423099
139	0.3372661979
140	0.3370833594
141	0.3368620052
142	0.336638151
143	0.336389349
144	0.3361888021
145	0.3359591667
146	0.3357299479
147	0.3354866927
148	0.335135026
149	0.3347617708
150	0.3344631771
151	0.3343004167
152	0.3339064844
153	0.3335583073
154	0.3332867969
155	0.3330851042
156	0.3327819531
157	0.3324803125
158	0.3322327083
159	0.3319346354
160	0.331403724
161	0.3312440104
162	0.3309136198
163	0.3308490625
164	0.3303104948
165	0.3300825
166	0.3298311198
167	0.3295182552
168	0.3292880208
169	0.3288625781
170	0.3286389062
171	0.328358125
172	0.3280966667
173	0.3278332552
174	0.327421875
175	0.3272298177
176	0.3268735156
177	0.3267153385
178	0.3265785937
179	0.3262459375
180	0.3259390104
181	0.3256710417
182	0.3254005469
183	0.3251338542
184	0.3248919792
185	0.3247061458
186	0.3245289323
187	0.3243329167
188	0.3242033854
189	0.3240121875
190	0.3236926562
191	0.3233077083
192	0.3229035417
193	0.3226308854
194	0.3223839323
195	0.3222104167
196	0.3219850521
197	0.3218052344
198	0.3216782812
199	0.3214157031
