,Image_name,Image_url
32,Combination,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cae4966b62fe038d08/1539363532319/Combination_web.png
33,Common_Optimizers_With_Neural_Networks,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cab208fc1df53bcb5d/1539363532733/Common_Optimizers_With_Neural_Networks_web.png
34,Common_Output_Layer_Activation_Functions,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cbeef1a1c6b7085055/1539363533094/Common_Output_Layer_Activation_Functions_web.png
35,Concave_And_Convex_Functions,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cbf9619a023f8bf8ff/1539363534670/Concave_And_Convex_Functions_web.png
36,Conditional_Probability,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ccb208fc1df53bcb67/1539363535085/Conditional_Probability_web.png
37,Conditioning,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cc4192021958778c7d/1539363534270/Conditioning_web.png
38,Confidence_Intervals,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cc1905f4e84ce864ef/1539363535452/Confidence_Intervals_web.png
39,Confusion_Matrix,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cd1905f4e84ce864f2/1539363536087/Confusion_Matrix_web.png
40,Consistency,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cde4966b62fe038d28/1539363535947/Consistency_web.png
41,Cost_And_Loss_Functions,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cef4e1fc14884b49aa/1539363536237/Cost_And_Loss_Functions_web.png
42,Cp,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2ce0d929751ee48d228/1539363539456/Cp_web.png
43,Cross-Entropy,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cfa4222f3ac53da6e1/1539363537948/Cross-Entropy_web.png
44,Cumulative_Distribution_Function,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2cf7817f7b0e23c03f0/1539363537298/Cumulative_Distribution_Function_web.png
45,Curse_Of_Dimensionality,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d0e79c70941ed91486/1539363538066/Curse_Of_Dimensionality_web.png
46,Data-Generating_Distribution,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d0c830257001144037/1539363538924/Data-Generating_Distribution_web.png
47,Dataset_Augmentation,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d1ec212d165b19f4b5/1539363539858/Dataset_Augmentation_web.png
48,DBSCAN,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d18165f5ad8708465c/1539363540248/DBSCAN_web.png
49,Decision_Boundary,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d324a694ece9fe65ba/1539363541888/Decision_Boundary_web.png
50,Decision_Tree_Regression,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d3e79c70941ed914bb/1539363544342/Decision_Tree_Regression_web.png
51,Decision_Trees,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d47817f7b0e23c042b/1539363543824/Decision_Trees_web.png
52,Derivative,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d4e2c483f1ebac754f/1539363542757/Derivative_web.png
53,Design_Matrix,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d5e79c70941ed914c8/1539363548088/Design_Matrix_web.png
54,Determinants,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d5085229c3731ef32d/1539363543800/Determinants_web.png
55,Does-k-NN-Learn,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d6e2c483f1ebac758c/1539363546071/Does-k-NN-Learn_web.png
56,Dot_Product,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d624a694ece9fe65e3/1539363544743/Dot_Product_web.png
57,Downsampling,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d84785d3d1fc969ac9/1539363547125/Downsampling_web.png
58,Dropout,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2d8e4966b62fe038dad/1539363546831/Dropout_web.png
59,Early_Stopping_Advantages,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2da4192021958778d0a/1539363548302/Early_Stopping_Advantages_web.png
60,Early_Stopping,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2dae2c483f1ebac75ab/1539363548574/Early_Stopping_web.png
61,Effect_Of_One-Hot_On_Feature_Importance,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2db15fcc03e6551a2f7/1539363550364/Effect_Of_One-Hot_On_Feature_Importance_web.png
62,Eigenvector,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2dcec212d165b19f537/1539363550156/Eigenvector_web.png
63,ElasticNet,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2dd24a694ece9fe6631/1539363553258/ElasticNet_web.png
64,ELUs,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2de085229c3731ef3a9/1539363551806/ELUs_web.png
65,Encoding_Ordinal_Categorical_Features,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2deb208fc1df53bcc42/1539363553673/Encoding_Ordinal_Categorical_Features_web.png
66,Ensemble_Methods,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2dfe2c483f1ebac75e3/1539363554213/Ensemble_Methods_web.png
67,Epoch,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e04192021958778d5a/1539363555679/Epoch_web.png
68,Error_Types,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e1b208fc1df53bcc80/1539363555434/Error_Types_web.png
69,Explained_Sum_Of_Squares,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e1085229c3731ef3d6/1539363557248/Explained_Sum_Of_Squares_web.png
70,Exploding_Gradient_Problem,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e353450ae7c17f5019/1539363558000/Exploding_Gradient_Problem_web.png
71,Extrema,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e424a694ece9fe66ad/1539363558490/Extrema_web.png
72,F-Statistic,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e4c83025700114413f/1539363559818/F-Statistic_web.png
73,F1_Score,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e59140b7caf2f4f544/1539363559475/F1_Score_web.png
74,False_Positive_Rate,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e60d929751ee48d3c4/1539363559641/False_Positive_Rate_web.png
75,Feature_Importance,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e61905f4e84ce866ae/1539363561325/Feature_Importance_web.png
76,Feature_Selection_Strategies,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e64192021958778e08/1539363563106/Feature_Selection_Strategies_web.png
77,Feedforward_Neural_Networks,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e70d929751ee48d3d4/1539363563999/Feedforward_Neural_Networks_web.png
78,Finding_Linear_Regression_Parameters,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e81905f4e84ce86725/1539363564458/Finding_Linear_Regression_Parameters_web.png
79,Forward_Stepwise_Selection,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e84192021958778e29/1539363562826/Forward_Stepwise_Selection_web.png
80,Fowlkes-Mallows,https://static1.squarespace.com/static/55dbfccee4b08731143170b6/5bc0d2b9e2c483f1ebac740f/5bc0d2e9f4e1fc14884b4ae5/1539363564278/Fowlkes-Mallows_web.png
